,TICKER,PER,DATE,TIME,OPEN,HIGH,LOW,CLOSE,VOL,OPENINT,PRE_COVID_DIP,BOTTOM_COVID_DIP,EOY_2021,CURRENT_PRICE,COVID_BOTTOM_TO_2021_TOP,COVID_BOTTOM_TO_2021_TOP_PERCENT,CURRENT_FROM_COVID_BOTTOM_PRICE,CURRENT_FROM_PRE_COVID_PRICE,VALUE_LEFT_TO_DECREASE,VALUE_LEFT_TO_DECREASE_PERCENT
3320,FCX.US,D,2020-02-14,000000,12.34,12.419,11.856,12.083,30879479,0,12.083,5.4493,41.461,29.2,36.0117,6.608500174334318,23.7507,17.116999999999997,23.7507,435.84864110986723
2428,DDS.US,D,2020-02-14,000000,59.504,61.838,59.326,61.166,280577,0,61.166,39.375,244.85,210.0,205.475,5.218412698412698,170.625,148.834,170.625,433.3333333333333
2280,CVEO.US,D,2020-02-14,000000,16.08,17.76,15.72,17.52,31935,0,17.52,4.8,19.17,25.58,14.370000000000001,2.9937500000000004,20.779999999999998,8.059999999999999,20.779999999999998,432.9166666666667
2940,EMO.US,D,2020-02-14,000000,33.3821,33.6247,33.221,33.221,136840.42184752,0,33.221,4.53683,21.1258,24.17,16.588970000000003,3.6565112644732123,19.63317,-9.050999999999995,19.63317,432.7508414465607
5040,LBRT.US,D,2020-02-14,000000,7.7059,7.9836,7.6166,7.934,598955,0,7.934,2.41,9.7,12.68,7.289999999999999,3.0248962655601654,10.27,4.7459999999999996,10.27,426.1410788381743
1860,CIVI.US,D,2020-02-14,000000,16.968,17.054,16.585,16.766,137503,0,16.766,10.095,47.91,53.04,37.815,3.7459138187221392,42.945,36.274,42.945,425.40861812778604
7080,PUMP.US,D,2020-02-14,000000,10.24,10.44,10.055,10.32,721370,0,10.32,1.92,8.1,10.06,6.18,3.21875,8.14,-0.2599999999999998,8.14,423.95833333333337
1552,CAL.US,D,2020-02-14,000000,15.152,15.797,13.548,13.558,2003124,0,13.558,4.9243,22.601,25.69,17.6767,3.5896878744186993,20.765700000000002,12.132000000000001,20.765700000000002,421.69851552504934
580,ARC.US,D,2020-02-14,000000,1.1611,1.1611,1.1333,1.1517,47073,0,1.1517,0.5109,3.4005,2.63,2.8896,5.655901350557839,2.1191,1.4783,2.1191,414.77784302211785
7092,PWR.US,D,2020-02-14,000000,40.558,40.588,39.878,40.189,1097387,0,40.189,24.937,114.53,126.14,89.593,3.5927737899506758,101.203,85.951,101.203,405.8347034527008
